algorithm,number_files,average_file_size,min_file_size,max_file_size,number_storage_nodes,total_simulation_time,total_data_generation_time,total_chunking_time,total_scheduling_time,total_upload_time,average_data_generation_time,average_scheduling_time,average_chunking_time,average_upload_time,average_overhead,total_storage_used,nodes_storage_utilization
alg1,1,10485760.0,10485760,10485760,10,8025.163405,17.126074,116.789731,0.212947,174.819741,17.126074,0.212947,116.789731,174.819741,111.11116409301758,11.111116409301758,"[1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758]"
alg2,1,10485760.0,10485760,10485760,10,5740.008256,23.177422,148.639591,87.030609,417.759349,23.177422,87.030609,148.639591,417.759349,111.11116409301758,11.111116409301758,"[1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758]"
alg3,1,10485760.0,10485760,10485760,10,5500.844411,18.673698,117.901451,97.272673,298.332812,18.673698,97.272673,117.901451,298.332812,111.11116409301758,11.111116409301758,"[1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758]"
alg4,1,10485760.0,10485760,10485760,10,5597.642272,19.286695,115.194921,90.031303,293.028673,19.286695,90.031303,115.194921,293.028673,111.11116409301758,11.111116409301758,"[1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758]"
random,1,10485760.0,10485760,10485760,10,548.559512,18.536114,215.505649,0.228836,235.686185,18.536114,0.228836,215.505649,235.686185,400.00003814697266,40.000003814697266,"[10.000000953674316, 10.000000953674316, 10.000000953674316, 10.000000953674316]"
hdfs,1,10485760.0,10485760,10485760,10,5176.694764,18.411369,0.003608,0.243929,153.398834,18.411369,0.243929,0.003608,153.398834,300.0,30.000125885009766,"[10.000041961669922, 10.000041961669922, 10.000041961669922]"
alg2_reduced_complexity,1,10485760.0,10485760,10485760,10,5404.262162,18.348281,90.424899,15.39394,239.126595,18.348281,15.39394,90.424899,239.126595,114.28573608398438,11.428573608398438,"[1.4285717010498047, 1.4285717010498047, 1.4285717010498047, 1.4285717010498047, 1.4285717010498047, 1.4285717010498047, 1.4285717010498047, 1.4285717010498047]"
alg3_reduced_complexity,1,10485760.0,10485760,10485760,10,5597.145955,18.666733,126.116194,86.921023,313.580437,18.666733,86.921023,126.116194,313.580437,111.11116409301758,11.111116409301758,"[1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758]"
alg4_reduced_complexity,1,10485760.0,10485760,10485760,10,5437.222223,18.421012,119.929154,106.738404,314.053305,18.421012,106.738404,119.929154,314.053305,111.11116409301758,11.111116409301758,"[1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758]"
hdfsrs_3_2,1,10485760.0,10485760,10485760,10,206.865287,18.545668,5.010035,0.255196,114.71523,18.545668,0.255196,5.010035,114.71523,166.6666603088379,16.666749954223633,"[8.333374977111816, 8.333374977111816]"
hdfsrs_6_3,1,10485760.0,10485760,10485760,10,5188.723821,17.961325,2.822036,0.226484,113.164714,17.961325,0.226484,2.822036,113.164714,150.0,15.000125885009766,"[5.000041961669922, 5.000041961669922, 5.000041961669922]"
hdfsrs_10_4,1,10485760.0,10485760,10485760,10,5215.901737,17.81559,2.124883,0.231956,133.217633,17.81559,0.231956,2.124883,133.217633,140.0,14.000167846679688,"[3.500041961669922, 3.500041961669922, 3.500041961669922, 3.500041961669922]"
vandermonders_3_2,1,10485760.0,10485760,10485760,10,2328.753551,18.78589,26.712162,0.240859,118.095934,18.78589,0.240859,26.712162,118.095934,166.6666603088379,16.666749954223633,"[8.333374977111816, 8.333374977111816]"
vandermonders_6_3,1,10485760.0,10485760,10485760,10,7591.19778,18.436327,30.393897,0.223795,136.816153,18.436327,0.223795,30.393897,136.816153,150.0,15.000125885009766,"[5.000041961669922, 5.000041961669922, 5.000041961669922]"
vandermonders_10_4,1,10485760.0,10485760,10485760,10,7307.178297,18.099245,31.86881,0.207756,126.526772,18.099245,0.207756,31.86881,126.526772,140.0,14.000167846679688,"[3.500041961669922, 3.500041961669922, 3.500041961669922, 3.500041961669922]"
