u,t
3.76668003,30.00000000
6.02455619,32.50000000
7.75902325,35.00416667
9.70941734,37.50000000
11.41804962,40.00833333
13.44822776,42.50416667
15.29839827,45.00000000
16.88940481,47.50833333
18.99740423,50.00000000
20.98628311,52.49583333
22.77548599,55.00416667
24.53333715,57.50833333
26.75368627,59.99583333
28.68863945,62.50000000
30.94739329,65.00000000
32.83268102,67.50416667
35.00454178,70.00416667
36.83131460,72.51250000
38.93908335,75.00416667
41.16638947,77.50000000
43.29476954,80.00000000
45.28334427,82.50416667
47.56452713,85.00000000
49.87683818,87.50000000
52.07984492,90.00000000
54.53802516,92.49583333
56.72640864,95.00416667
59.09418538,97.50833333
